names,scores,logfoldchanges,pvals,pvals_adj
ILMN_1734353,-7.270258,-1.6974784,1.14639583867318e-08,2.6931738373795323e-06
ILMN_2079890,-7.273839,-1.9831463,2.291236294002477e-08,4.168904436937507e-06
ILMN_1659753,-7.323919,-1.1323762,1.423772911199817e-08,3.103890558070495e-06
ILMN_1780236,-7.327999,-1.2457484,4.906572670541908e-09,1.441709523759789e-06
ILMN_2151281,-7.330662,-1.6277729,3.08274664526321e-08,5.135052660122066e-06
ILMN_2416019,-7.3728137,-1.6974918,3.062106121675168e-08,5.120993977901668e-06
ILMN_1692902,-7.405944,-1.1994382,3.6851172012967468e-09,1.1914985365516602e-06
ILMN_1728555,-7.4227867,-1.1602257,4.7954639332902435e-09,1.4267862408312048e-06
ILMN_1766657,-7.458435,-1.6371603,1.7195801405292464e-08,3.491338099056526e-06
ILMN_1870671,-7.458918,-2.054914,5.608999814353537e-08,7.944459707114454e-06
ILMN_1808249,-7.4820886,-1.5209628,1.7484507362019505e-09,7.385174908705864e-07
ILMN_2378952,-7.4941616,-2.1976023,2.370800975261148e-09,8.972438538934331e-07
ILMN_2100357,-7.5243635,-1.3817621,1.5046165458978396e-08,3.2157284464929347e-06
ILMN_1677108,-7.562614,-1.4715179,2.4475815826930064e-09,8.982212103178199e-07
ILMN_1792404,-7.6272025,-11.966288,2.4590135615834345e-09,8.982212103178199e-07
ILMN_1815556,-7.7228527,-2.3171463,2.4461656432646135e-09,8.982212103178199e-07
ILMN_1813975,-7.7368717,-1.6238332,2.5018476239564832e-08,4.464076231448232e-06
ILMN_1696434,-7.7788363,-2.5874567,3.154344758199793e-08,5.211438065675318e-06
ILMN_1753345,-7.7794013,-1.7060604,7.543930924471689e-09,1.960883188153748e-06
ILMN_1674580,-7.7850294,-1.4888308,3.7002788443208137e-09,1.1914985365516602e-06
ILMN_1752968,-7.8298993,-1.8180547,1.5182810195624043e-08,3.2208663763425405e-06
ILMN_1725417,-7.841099,-1.7039174,6.494508677555795e-10,3.6575681191563334e-07
ILMN_1758146,-7.936056,-1.2842611,2.108360980175344e-09,8.242994453649173e-07
ILMN_1789599,-7.9622602,-1.4298086,1.8353478422033378e-09,7.549982640966374e-07
ILMN_1767475,-8.008752,-1.0284369,1.614708458468531e-09,6.881712886916287e-07
ILMN_1810729,-8.042875,-1.1146841,4.010799277558936e-09,1.2649258761565372e-06
ILMN_1773073,-8.161199,-1.8422282,1.9166934833329067e-10,1.5366627115231145e-07
ILMN_1673282,-8.428578,-1.5920238,3.6265343556000663e-10,2.3501432980872924e-07
ILMN_1800225,-8.460237,-1.4686551,3.624188712016286e-10,2.3501432980872924e-07
ILMN_2060115,-8.48026,-1.2658815,1.103747778802319e-09,5.496315386505401e-07
ILMN_2243687,-8.494322,-1.7164674,5.291894661620985e-10,3.168907098193721e-07
ILMN_1684771,-8.536313,-1.4569113,9.650706179941202e-10,5.016988541258005e-07
ILMN_1807455,-8.64652,-2.2133,8.069327274349552e-11,8.483014785947872e-08
ILMN_1732452,-8.68753,-1.3723278,9.760126665086166e-11,9.82387898181343e-08
ILMN_1715684,-8.813143,-1.5133078,1.9489665946136274e-10,1.5366627115231145e-07
ILMN_1815445,-9.1771755,-1.364657,1.473234713519702e-09,6.485718700693138e-07
ILMN_1803211,-9.290716,-1.6684867,4.1697298186776017e-10,2.630098780429084e-07
ILMN_1794863,-9.641998,-2.4589977,1.2944050603127326e-12,3.40191223267858e-09
ILMN_1655595,-10.183548,-2.527329,9.483360561705512e-13,2.8039333630787666e-09
