Gene,scores,logfoldchanges,pvals,pvals_adj
BIRC3,8.316572,3.1395562,1.8334783506501183e-09,7.549982640966374e-07
CD8A,8.297297,2.418712,1.4806637911405477e-09,6.485718700693138e-07
TRIM21,8.288701,0.721318,1.2328207338481004e-10,1.1002040539834555e-07
TMEM206,8.288371,1.57098,1.1313641233702451e-10,1.092274338454616e-07
LDHB,8.24244,1.6511403,1.5237869061508385e-09,6.568060685117276e-07
RAC2,8.231108,2.2326703,2.552201003758982e-09,9.216562815635585e-07
RFC4,8.20316,0.87976205,2.2264071588882007e-10,1.6718197375480017e-07
CXCL10,8.189567,4.185426,1.0277452562538797e-08,2.4759821103673868e-06
CCL5,8.188074,3.779089,9.9369090288417e-10,5.109623428558851e-07
SIRPG,8.183791,,3.4862794628811567e-09,1.1453154343786033e-06
TNFSF13B,8.177439,1.7388892,3.1663851371104043e-09,1.0866672402136438e-06
NUSAP1,8.176893,1.5212976,6.872119716043311e-10,3.7802252024053595e-07
EXO1,8.119131,1.7864096,6.712670827536685e-10,3.735956692215034e-07
TRAFD1,8.118174,1.0960959,4.680143551846087e-09,1.4012882975138153e-06
MAP4K1,8.089478,1.8727467,3.1617080256976475e-09,1.0866672402136438e-06
MELK,8.077382,1.6064897,1.0663690603187396e-09,5.366672461329639e-07
CDC45,8.0743475,1.8332175,8.846435620889169e-10,4.702228426038246e-07
SLC25A28,8.0347395,0.90901333,2.6303354319113327e-10,1.8853527011731728e-07
PSME2,8.008176,3.4024594,4.932038667026981e-10,3.0699993844874394e-07
PSMB9,8.005085,1.5376222,2.0705554347739112e-09,8.218011682928522e-07
CD8A,7.9968314,2.405564,5.111347299390358e-09,1.4834509613022067e-06
TYMP,7.9622393,4.220651,5.199128957609247e-10,3.156521456866327e-07
SIRPG,7.9523973,2.4858024,1.1579511732392254e-09,5.70616626587792e-07
NEMP1,7.9347615,1.2866757,3.699001253123225e-10,2.364711517317573e-07
PLEKHF1,7.910911,1.5381526,3.2743696839673567e-09,1.0866672402136438e-06
RAD54L,7.9053535,1.379458,5.726854005339842e-10,3.342731247926857e-07
BATF2,7.896591,2.456338,2.3861734980443462e-08,4.3085003691596906e-06
HLA-H,7.8785605,7.3971868,5.86481268264589e-10,3.342731247926857e-07
ST3GAL5,7.8740315,1.0602125,5.827431250785353e-10,3.342731247926857e-07
DNMT1,7.8739333,1.5106101,1.0655792562818318e-09,5.366672461329639e-07
SLC9A7,7.8709245,1.9204549,1.1209039578908822e-08,2.6513301767971983e-06
HCST,7.8396735,1.5860411,2.4683187972460015e-09,8.982212103178199e-07
SOCS1,7.833489,1.0150523,2.3021661669799154e-09,8.7923691081086e-07
LYAR,7.8246913,0.90238386,2.9471164620385684e-09,1.0404420781317803e-06
HSP90B1,7.8217664,3.2178564,9.232508930726504e-10,4.852914444287541e-07
,7.818372,1.6381439,1.527229956164839e-09,6.568060685117276e-07
TMEM268,7.8079276,1.290429,1.2248818594795154e-09,5.973761456329632e-07
PRF1,7.8076777,2.0917237,9.53440926870874e-09,2.3639099299856756e-06
MAP4K1,7.794421,,6.1877508492579434e-09,1.692045834831477e-06
STARD5,7.7864265,0.9595759,8.03853752230674e-10,4.371024075491551e-07
,7.756687,2.243402,2.008780984109162e-08,3.801176080610085e-06
CD6,7.7508163,2.4879034,1.3638848544543903e-08,3.0150140565268148e-06
UHRF1,7.7453785,1.5498013,2.0162841422043294e-09,8.083419823327137e-07
SRBD1,7.7229505,0.68563414,1.7894907806100291e-09,7.491631890116694e-07
LOC606724,7.703291,1.6976832,7.992125574697774e-09,2.0548015465338456e-06
HJURP,7.69492,1.5685929,2.0845993234646513e-09,8.218011682928522e-07
IL18BP,7.670806,2.184159,2.507830107614906e-08,4.464076231448232e-06
NKG7,7.6618123,1.8262445,8.85340750725712e-09,2.239722721635361e-06
MBOAT1,7.6545777,0.84226596,1.3657624237107127e-09,6.212511824854105e-07
TAP2,7.6503973,1.4648178,1.2525601954810698e-09,6.046414813022752e-07
HLA-DPA1,7.6442327,3.9003596,2.1477854621521177e-09,8.328302201477888e-07
PPP1R16B,7.621102,1.5264385,8.119565847949089e-09,2.066559337986695e-06
TRMT5,7.611131,1.324394,5.344365986873998e-09,1.5270152345229297e-06
NCAPG,7.596167,1.6936611,5.825065441539637e-09,1.616824533846806e-06
HMGN2,7.586767,1.4294038,5.244129600366338e-09,1.5127075549056728e-06
VRK1,7.566205,1.3775572,1.9178689044460356e-09,7.813549524840121e-07
ADAM8,7.558621,3.648107,2.304635190152549e-09,8.7923691081086e-07
GAR1,7.545439,0.62746835,3.888765295981878e-09,1.2346699319262732e-06
KLRD1,7.5394735,2.5041854,1.0053479986250605e-08,2.438974244664397e-06
MND1,7.5389466,1.2158083,1.425935927023857e-09,6.424452466639773e-07
DNAJC9,7.5275393,0.72036356,1.9324524793504008e-09,7.813549524840121e-07
LRRC66,7.496411,1.1430036,2.9847143072095766e-09,1.0459102202308402e-06
HSD3B7,7.4654183,1.2724341,3.7024179270106758e-09,1.1914985365516602e-06
PPP2R2B,7.462087,2.1654806,1.9925099424807415e-08,3.801176080610085e-06
HLA-F,7.455392,1.5743963,3.871510826710054e-09,1.2346699319262732e-06
TGM2,7.444727,1.741076,6.560617528479336e-09,1.7534640306201804e-06
MELK,7.4417615,1.4746445,7.253519549592363e-09,1.906345829625366e-06
KIF15,7.4292674,1.2162386,4.844858268087146e-09,1.4324731880524915e-06
TNFSF13B,7.4255404,1.9695348,3.7083522914260956e-08,5.789802701336446e-06
BUB1,7.421634,1.876683,5.358287968605203e-09,1.5270152345229297e-06
PLK4,7.4149623,1.310245,3.2847869311212098e-09,1.0866672402136438e-06
DLGAP5,7.411669,1.8799778,1.806835159322313e-08,3.606580205994121e-06
NUSAP1,7.4088225,1.5012406,1.5634662010353554e-08,3.26935722363121e-06
IL12RB1,7.4028025,1.8800074,1.2620932170333453e-08,2.8567389386696872e-06
CLCC1,7.401524,0.98415107,3.2590745804672083e-09,1.0866672402136438e-06
HLA-DQB1,7.3991814,2.465774,1.9878127838544597e-08,3.801176080610085e-06
BTN3A3,7.383061,1.2766231,2.439165964676998e-09,8.982212103178199e-07
TOP2A,7.3585405,1.5690355,3.25784349795815e-09,1.0866672402136438e-06
TYMS,7.352817,1.3696926,1.509061481644221e-08,3.2157284464929347e-06
ETV7,7.348231,1.1446065,3.1872934508872707e-09,1.0866672402136438e-06
TOX2,7.3339205,1.8193377,4.70287977997996e-08,6.909289868059377e-06
IL15RA,7.3178325,2.2737184,3.2145337594583967e-09,1.0866672402136438e-06
INPP5D,7.31775,1.5796872,4.062273362289174e-09,1.272675271190821e-06
TOX2,7.31736,1.8262558,3.5238083004557796e-08,5.6036939993478995e-06
HAVCR2,7.3102164,1.6399387,1.5452016466247436e-08,3.2488379687500775e-06
CENPE,7.3063827,1.5587927,1.9563392556223187e-08,3.801176080610085e-06
CDKN3,7.3002553,1.5864522,1.4705834231863986e-08,3.176661643866619e-06
PTTG3P,7.292594,1.816679,2.8997371830547867e-08,4.952269563854613e-06
RACGAP1,7.2891016,1.3725734,4.390236211689086e-09,1.3399284159121007e-06
SPDL1,7.286533,1.5492094,1.149980161816783e-08,2.6931738373795323e-06
FANCG,7.2815094,0.78527826,5.861866926875189e-09,1.616824533846806e-06
MPHOSPH9,7.2710953,1.0183043,4.110076241299713e-09,1.2791801101787206e-06
FGL2,7.2704897,3.4879575,3.668391973194776e-08,5.771270584777724e-06
KIF2C,7.266655,1.5558274,5.505220127517805e-09,1.5594937040268553e-06
ARHGEF6,7.249744,1.3729359,1.3956001073206781e-08,3.0707746175357823e-06
ILK,7.247754,0.75527984,4.578685626091263e-09,1.379642553589168e-06
TRIP13,7.24663,1.4892577,2.152334706412358e-08,3.992960704166644e-06
SLA,7.2362013,1.4300808,1.4662703924833264e-08,3.176661643866619e-06
,7.2144217,1.2359307,4.6779864198681744e-08,6.8941278369066585e-06
CCNB2,7.2119927,1.6772119,1.9825873064528112e-08,3.801176080610085e-06
CKAP2L,7.211552,2.0143275,1.0310704034125504e-08,2.4759821103673868e-06
PUM3,7.189209,0.70997316,5.597707331936128e-09,1.5762544092375143e-06
CCL5,7.188862,2.0342247,4.4819560590292224e-08,6.667543876870926e-06
IL32,7.1838865,2.084179,2.779888407472934e-08,4.799568645705186e-06
APOL3,7.1741104,1.2226417,1.2391009876740708e-08,2.831794706468467e-06
KDM2B,7.172015,0.8248064,5.095356060275043e-09,1.4834509613022067e-06
GBP5,7.171723,4.147804,1.428220707297767e-07,1.5251656207705521e-05
NUP205,7.1595273,0.52422,6.34274123304781e-09,1.7146060543531014e-06
PSMA5,7.153789,1.3106109,9.841925319446727e-09,2.3999585623044657e-06
H2AFZ,7.152058,2.0008032,1.9933438083913368e-08,3.801176080610085e-06
LAG3,7.137976,2.7769845,6.930055090490213e-08,9.31363966380172e-06
NDC80,7.128894,1.823032,1.1672422946955454e-08,2.7130311316298834e-06
MAPK1,7.127189,0.5103509,5.878491974161343e-09,1.616824533846806e-06
CIITA,7.1207294,1.6274923,4.936484269563585e-08,7.1547460862993355e-06
TIMELESS,7.1185455,1.072553,7.519570392451326e-09,1.960883188153748e-06
CORO1A,7.1171913,1.408247,4.94557247388311e-08,7.1547460862993355e-06
WAS,7.113388,1.4924033,4.02187218203977e-08,6.117771939413358e-06
ILF2,7.111331,0.8627472,1.2051345352529472e-08,2.781038998010301e-06
MCM3,7.1102905,0.9909097,6.230048139082427e-09,1.6938211914688066e-06
PRC1,7.105849,1.676068,3.051308393705771e-08,5.120993977901668e-06
FEN1,7.1056266,1.4324038,3.694312459915757e-08,5.786981441762739e-06
PSMB8,7.1054053,1.2965047,3.2796276019846895e-08,5.295199418672004e-06
,7.1032057,1.3017458,3.244366403567506e-08,5.2742694657583504e-06
ARHGDIB,7.09868,2.2426803,1.6346259217538568e-08,3.376823077747149e-06
KLRD1,7.0973144,2.3277879,2.029146952803394e-08,3.824416529731878e-06
POLQ,7.0935907,1.2825153,1.792391267332863e-08,3.592909054394735e-06
CENPF,7.0932274,1.3530955,2.141885751492594e-08,3.989220049049612e-06
HLA-F,7.0898786,4.3897367,1.4081572864156755e-08,3.0840600346512204e-06
LOC154761,7.082263,3.3903594,3.672083298493024e-08,5.771270584777724e-06
UBFD1,7.074937,0.8527442,9.644124896679888e-09,2.3639099299856756e-06
UBE2T,7.072267,1.3145639,3.983959055549804e-08,6.079650033577244e-06
SRSF2,7.0718627,1.1250113,7.125061847457101e-09,1.8830463732829782e-06
RUNX3,7.065009,1.5443517,5.012610989722765e-08,7.207647054432062e-06
YIF1B,7.0625477,0.80814284,8.125225376065387e-09,2.066559337986695e-06
KIF11,7.0610156,1.6870247,3.161652027921484e-08,5.211438065675318e-06
DDIAS,7.055615,1.5796566,2.1113702511607854e-08,3.9479285561922246e-06
CASP3,7.050648,1.8385795,1.2853750076630174e-08,2.8818595017779323e-06
KPNB1,7.0483494,0.7113735,7.8060471943901e-09,2.0179271837432373e-06
BIRC3,7.0464234,2.275634,7.445550444110853e-08,9.629614547380053e-06
ACKR4,7.046075,1.327894,4.125544460967789e-08,6.215513752070165e-06
EZH2,7.0433006,2.0655096,1.1027766323142925e-08,2.6215605097935795e-06
KIF11,7.0322165,1.7214553,2.239725863472442e-08,4.124659003499056e-06
,7.023671,1.0825113,3.390528544132533e-08,5.4371435199077195e-06
PRPS1,7.0206566,1.0125846,9.366023766003911e-09,2.3568004590337607e-06
MICB,7.0063868,1.1716312,6.855096867063289e-08,9.239147221941966e-06
RGL4,7.005792,1.0433182,2.361130873590594e-08,4.2796175569712734e-06
MLKL,6.997289,1.1897587,3.0260874940039516e-08,5.112682895673033e-06
NUP37,6.996289,0.7801905,2.7706029053724543e-08,4.799568645705186e-06
,6.9875045,1.099345,4.979312879108519e-08,7.181596169877644e-06
GLIPR2,6.9798684,1.3544954,4.105531745228982e-08,6.2051242898257966e-06
IFI16,6.951502,1.3752806,1.5687828223397905e-08,3.26935722363121e-06
,6.939629,0.82990974,1.2616748252450013e-08,2.8567389386696872e-06
,6.9333944,0.9009279,3.766473889867373e-08,5.841986239605108e-06
INTS10,6.9304996,0.43103248,1.1699290820650142e-08,2.7130311316298834e-06
CSTF3,6.930333,0.7399084,1.3407938909217113e-08,2.977884347316122e-06
TMEM200A,6.9303207,1.4740528,1.97334308465295e-08,3.801176080610085e-06
RHBDF2,6.922066,1.175988,3.6642445797387616e-08,5.771270584777724e-06
ITK,6.920931,1.4804972,6.369287261898568e-08,8.759066061006848e-06
CMTM7,6.912796,1.2560471,7.410019236081889e-08,9.629614547380053e-06
STMN1,6.9120193,1.2758694,3.2312891768615346e-08,5.2742694657583504e-06
CENPE,6.8901844,2.2376246,3.805346540351342e-08,5.863828299166155e-06
PTTG1,6.8898077,1.4315983,7.192790345169453e-08,9.504729968126573e-06
CD3G,6.887729,1.8594117,7.450142525083178e-08,9.629614547380053e-06
,6.884408,4.021107,2.674313216633285e-07,2.4236347766143834e-05
BIRC3,6.863869,1.6247537,6.790031649435982e-08,9.200231486807206e-06
TGM2,6.860067,3.0844564,2.3842029384589267e-07,2.198625505061919e-05
GGT6,6.851281,0.97460604,2.2407621787457612e-08,4.124659003499056e-06
GRAMD2,6.8512626,6.9635224,6.362158359103564e-08,8.759066061006848e-06
TACC3,6.8493223,1.6798403,4.0978010337561034e-08,6.2051242898257966e-06
HLA-DOB,6.848266,2.666922,7.257144825437729e-08,9.536493062693962e-06
TK1,6.8457494,1.6925496,4.630172704176093e-08,6.866444517757317e-06
FAM179A,6.837974,2.2535968,1.3212012975646182e-07,1.4386196373334356e-05
APBB1IP,6.836071,1.455396,1.073327752231617e-07,1.2572206460212614e-05
CCNA2,6.8356843,1.4018576,5.1273660100904855e-08,7.345530782670185e-06
CD2,6.831215,1.5082539,1.3236415481112834e-07,1.4386196373334356e-05
TMSB10,6.829422,3.2755964,2.2694999908560132e-08,4.161365739047497e-06
PSMA4,6.827761,0.73788786,2.2882287967695548e-08,4.168904436937507e-06
PRR5L,6.822545,1.3182762,1.8303636910218514e-08,3.6381939130744e-06
APOBEC3F,6.8213024,1.0538157,8.89667095745438e-08,1.1017665261368962e-05
TBC1D31,6.8133287,0.71391904,1.7427308360611112e-08,3.5082284111294884e-06
,6.8125153,1.8482687,1.893899507318033e-08,3.748732384631556e-06
CXCL9,6.805032,8.6705675,2.874400854768094e-07,2.5721997764118715e-05
ACOT7,6.7967534,1.1616702,4.9001208584634915e-08,7.132615921579458e-06
CENPA,6.7853413,1.6679446,2.7273651504073897e-08,4.778646784086014e-06
CENPW,6.7852483,1.8278109,1.13516247005578e-07,1.2962703450363825e-05
FAM129A,6.7820535,0.9524723,8.496427561864397e-08,1.063334652563807e-05
MCM7,6.754754,1.0958147,2.6419810142889955e-08,4.681056024081255e-06
DOCK2,6.7482424,1.3641702,1.1154965960787233e-07,1.2870926212364918e-05
NOS2,6.7444615,2.7184355,4.773796860770943e-08,6.970185434953426e-06
PFAS,6.740877,1.0382829,2.6834714892311007e-08,4.724462223889089e-06
DOCK10,6.74037,1.5064875,9.57849902695531e-08,1.1678609625468424e-05
SEC61B,6.7208347,1.4891411,4.767871581029243e-08,6.970185434953426e-06
CELF2,6.7125897,1.6813704,8.191803373808455e-08,1.0445542916570258e-05
RHBDF2,6.7042365,1.2835895,6.355759603843946e-08,8.759066061006848e-06
SCO1,6.7038536,0.8136772,3.063481716756869e-08,5.120993977901668e-06
MYL4,6.6968894,1.9123092,7.318913881358537e-08,9.544443831392385e-06
GNL3,6.6791744,0.7596566,3.8185843552191024e-08,5.865122405595782e-06
TMPO-AS1,6.675477,1.4391506,3.000490469805271e-08,5.0876058299311095e-06
PSMB2,6.6716895,1.0164318,5.163757214827171e-08,7.357887426561115e-06
TTC27,6.6716723,0.715245,3.3024789914452034e-08,5.313958287357083e-06
NOS2,6.67046,2.26952,1.4390371621172395e-07,1.5319939282305868e-05
SASH3,6.6694303,1.4289218,1.0724660163730112e-07,1.2572206460212614e-05
CCDC189,6.6680527,1.2943728,3.24388557631415e-08,5.2742694657583504e-06
FASLG,6.649388,4.329162,1.4232147005173998e-07,1.5251656207705521e-05
KIF20A,6.6489916,1.8441558,6.600900380760804e-08,8.999100700652777e-06
NCALD,6.638478,2.4688926,5.082045061072054e-07,3.902862105586618e-05
CYTH4,6.620541,1.5120231,1.0867613129307148e-07,1.26008376055915e-05
KIF4A,6.618937,,4.1603664183827794e-08,6.248077909664576e-06
ARHGEF3,6.6168637,1.2733105,5.357701090902062e-08,7.611314279498614e-06
PLCH1,6.608111,0.70853984,8.292112979910141e-08,1.0488636062583131e-05
PPIH,6.6030455,0.7068429,7.086433913019032e-08,9.44084863555775e-06
CDK1,6.5988483,1.5796063,1.5901045378260185e-07,1.658390342621412e-05
CCL25,6.595104,4.541515,8.375408718105629e-08,1.0565745606064612e-05
TUBB,6.595008,1.325117,1.4260396490722184e-07,1.5251656207705521e-05
CHTF18,6.594647,1.4465556,6.281818604229794e-08,8.714779844876799e-06
CHAF1B,6.594529,1.4917995,1.480436294889302e-07,1.559799550163212e-05
,6.588228,1.9456449,2.9974580072355553e-07,2.6455363050054554e-05
KIF20B,6.5838513,1.0019453,6.695140278505642e-08,9.101350607909955e-06
STMN3,6.5639653,1.0775352,1.225249662486565e-07,1.3574446319262748e-05
KIF22,6.5638943,1.0193788,1.1437487075284919e-07,1.300656733342557e-05
RASGRP1,6.563203,2.1461527,2.7615977321632367e-07,2.4931851892260732e-05
,6.5614276,3.4462788,7.820788165810687e-08,9.99940610162179e-06
CCL3L3,6.5595555,2.8516579,3.655783068217076e-07,3.088288028716879e-05
LAMP3,6.5567427,1.2426019,7.009766558918738e-08,9.394080073732826e-06
KIAA0101,6.550801,1.4862701,9.216042674499397e-08,1.135373257298289e-05
AUNIP,6.5476947,1.8689837,1.2493221904043912e-07,1.3808804874173021e-05
BCAS4,6.537739,1.3121356,1.0735357184882972e-07,1.2572206460212614e-05
PTTG1,6.5254602,1.909315,2.2868509014756997e-07,2.1338078026846338e-05
POC1A,6.520332,0.83163655,1.1849156761546071e-07,1.3357862338400353e-05
PARVG,6.5184565,1.7227101,7.148789141699824e-08,9.473046720627271e-06
PPT1,6.517533,0.96230835,7.292509607916603e-08,9.544443831392385e-06
MANF,6.5148168,1.8435425,1.212713495786024e-07,1.3530622015365434e-05
PPP1R18,6.51443,1.1601611,1.4410918005001608e-07,1.5319939282305868e-05
CDCA5,6.5139365,1.5967748,9.696101673793391e-08,1.1791606218049971e-05
CARD16,6.5077424,1.4115759,5.935467289036442e-08,8.332022286126023e-06
TUBA1B,6.5060534,2.363333,1.4571020797499115e-07,1.544405838749114e-05
UBE2C,6.4994516,1.8558253,1.611319977315353e-07,1.6679806163426126e-05
AURKA,6.497569,1.2317228,1.6214561208207122e-07,1.6711595796877e-05
ITGB7,6.4940276,1.6128763,2.219905599664549e-07,2.0951945754408714e-05
LPXN,6.493591,1.356204,2.002862462214763e-07,1.9852564316402166e-05
CARD16,6.492463,0.88339055,1.953081521861999e-07,1.949249526471004e-05
LAT,6.4885054,1.7233105,8.668496586944291e-08,1.082006775827371e-05
CEP55,6.4684777,1.9109865,2.259977479746874e-07,2.121284814174313e-05
GINS3,6.46487,0.7892096,7.57130286765355e-08,9.759553808176744e-06
LYAR,6.464207,1.1956512,9.533890186489186e-08,1.1654256926414572e-05
LCP1,6.461749,1.7387617,1.7518196264505011e-07,1.7899207574188736e-05
,6.4600964,1.2578055,7.323721882164237e-08,9.544443831392385e-06
FNBP1,6.4578395,1.4304166,1.7977911517218232e-07,1.83293331927811e-05
ANLN,6.456174,2.0874581,2.1597202623738362e-07,2.0640381101438194e-05
NEMP1,6.446291,1.097309,7.64509008272773e-08,9.827887949554368e-06
FRMD3,6.4461174,1.4102654,2.0054229522125068e-07,1.9852564316402166e-05
CEP135,6.444753,0.80424285,6.266391015704573e-08,8.714779844876799e-06
CRELD2,6.44191,1.7028676,1.1281017509048727e-07,1.2953181924771073e-05
BID,6.438309,0.80221605,6.574399002399443e-08,8.988875537760418e-06
NUB1,6.4351654,0.8869033,9.96561171486455e-08,1.1965563284139525e-05
RNF20,6.434391,0.4065807,6.55772932445953e-08,8.988875537760418e-06
GPSM2,6.4302406,1.2852012,9.880208453752306e-08,1.1923546462287253e-05
ABI3,6.4257,1.2025583,2.455996189107699e-07,2.251663017792983e-05
KDELC2,6.4194894,0.7469231,7.071702459289046e-08,9.44084863555775e-06
TBC1D10C,6.4187646,1.5237962,1.1528993962733863e-07,1.3079187467507216e-05
CASP5,6.4182487,2.787734,4.751816412510793e-07,3.7094749014298367e-05
HCLS1,6.4171233,1.5262403,2.2233235607231856e-07,2.0951945754408714e-05
CENPM,6.4054837,1.2483208,1.7467712795239507e-07,1.7886257342086478e-05
GART,6.3968797,0.5590386,1.365771957849808e-07,1.472494197139176e-05
CD96,6.38983,1.9225358,5.51882829577732e-07,4.117968614958007e-05
DENND2D,6.383142,0.48874986,1.2191439510183037e-07,1.3570363033134799e-05
AURKA,6.380077,1.2709296,1.8750297948855639e-07,1.8913013754083447e-05
CDC42EP5,6.369762,2.3888454,1.5974889765756232e-07,1.658654584162682e-05
COL9A2,6.363423,3.0424056,1.1855839999916963e-07,1.3357862338400353e-05
RPIA,6.3626885,0.49533328,8.275832876439398e-08,1.0488636062583131e-05
PUS1,6.3598037,0.8602457,8.423148941181636e-08,1.0597710291502117e-05
MIOS,6.3596716,0.42289773,1.1045145091408428e-07,1.2775371120764268e-05
DRAM1,6.358845,1.0908072,1.0736617012124835e-07,1.2572206460212614e-05
FGD3,6.3549433,1.2115145,1.2745791410972405e-07,1.402244544834585e-05
CTLA4,6.3518777,2.5161486,2.0413060301509337e-07,2.007652065870067e-05
ZWINT,6.347745,1.4160509,2.279758477603978e-07,2.131393958498249e-05
,6.346057,1.7856529,2.515113731032485e-07,2.2881247168068032e-05
SLFN11,6.3442187,1.6056356,5.492750321290169e-07,4.104984825422971e-05
CD53,6.3434834,1.4154512,2.1272382954069817e-07,2.0453915048946763e-05
,6.3370695,2.7873795,4.649899565622065e-07,3.660113123974759e-05
NUDT1,6.332603,1.0746777,2.6051201773930466e-07,2.3654591215342197e-05
